Name,Facility Type,Address,City,County,State,Zip Code,Food Waste Accepted?,Feedstock,Source,Unique Identifier,Latitude,Longitude
Lent Hill Ag-Grid Digester,Farm,,Cohocton,Steuben County,NY,14826,Yes,animal manure - cattle/dairy cow; food waste,AD Data Collection Project - Farm,AD91,,
Lerda-Goni Farms Biogas,Farm,,Tulare,Tulare County,CA,93274,,animal manure - cattle/dairy cow,,AD411,,
LeRoy R. Summerson WWTF,Water Resource Recovery Facility,251 Port Watson St.,Cortland,Cortland County,NY,13045,Yes,"Wastewater solids, Food waste, Food processing industry waste",AD Data Collection Project - WRRF,AD855,42.59837052,-76.15888135
LEWISBURG STP,Water Resource Recovery Facility,,Lewisburg,Maury County,TN,38401,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1215,35.44911,-86.7888
LEWISTON MASTER WPCC,Water Resource Recovery Facility,501 PLETCHER RD,Lewiston,Niagara County,NY,14174,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1218,43.20378889,-79.03673698
LEWISTON Waste Water Treatment PLANT,Water Resource Recovery Facility,900 7TH AVENUE NORTH,Lewiston,Nez Perce County,ID,83501,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1216,46.42811602,-117.02141404
Lewiston-Auburn Water Pollution control Authority,Water Resource Recovery Facility,535 Lincoln St,Lewiston,Androscoggin County,ME,04240,Yes,"Wastewater solids, Food waste, Beverage processing industry waste, De-icing fluid, Food processing industry waste, Food service waste, pre & post-consumer, Septage, Source-separated commercial, institutional or residential organic wastes",AD Data Collection Project - WRRF,AD1217,44.07557966,-70.20433199
LEWISTOWN CITY OF,Water Resource Recovery Facility,620 Metis Street,Lewistown,Fergus County,MT,59457,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1219,47.073447,-109.43897402
LEWISTOWN STP,Water Resource Recovery Facility,WASHINGTON AVENUE,Lewistown,Mifflin County,PA,17044,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1220,40.58742105,-77.56551517
LFUCG TOWN BRANCH STP,Water Resource Recovery Facility,301 LISLE INDUSTRIAL AVE,Lexington,Fayette County,KY,40511,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1221,38.06078852,-84.52592207
LIBERTYVILLE WWTP,Water Resource Recovery Facility,1532 Artaius Parkway,Libertyville,Lake County,IL,60048,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1223,42.25490628,-87.94170428
Lima,Water Resource Recovery Facility,7405 ZIEGLER DRIVE,Lima,Livingston County,NY,14485,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1224,42.91549203,-77.60520129
LIMA WWTP & SEWER SYSTEM,Water Resource Recovery Facility,1200 FT AMANDA RD,Lima,Allen County,OH,45805,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1225,40.72435198,-84.12719703
Lime Lakes Energy,Stand-Alone,1743 Vanderhoof Road,Norton,Summit County,OH,44203,Yes,Food waste; biosolids,AD Data Collection Project - Stand-Alone,AD540,40.97039399,-81.58436499
LINCOLNTON CITY WWTP,Water Resource Recovery Facility,550 Highway 150 West Bypass,Lincolnton,Lincoln County,NC,28092,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1228,35.47368509,-81.2496588
LINDA CNTY WATER D. WWTP,Water Resource Recovery Facility,909 Myrna Avenue,Olivehurst,Yuba County,CA,95961,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1411,39.10170899,-121.58365502
"Linden Renewable Energy, LLC",Stand-Alone,4900 Tremley Point Road,Linden,Union County,NJ,07036,Yes,Food waste,AD Data Collection Project - Stand-Alone,AD520,40.59704102,-74.203943
LINDEN ROSELLE SEWER AUTH,Water Resource Recovery Facility,,Linden,Union County,NJ,07036,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1229,40.636705,-74.25548
"Linkenmeyer Family Feeders / Link Energy, LLC Digester",Farm,,Riceville,Howard County,IA,50466,Yes,"animal manure - cattle, swine; Other Feedstocks",AgStar,AD341,,
Little Miami WRRF,Water Resource Recovery Facility,,Cincinnati,Hamilton County,OH,45219,,wastewater solids,National Biosolids Data Project - https://www.biosolidsdata.org/,AD819,39.12711,-84.51439
Little Rock Dairy Digester,Farm,,Tipton,Tulare County,CA,93272,,animal manure - cattle/dairy cow,AgStar,AD392,,
LIVERMORE WRP,Water Resource Recovery Facility,101 W. JACK LONDON BLVD,Livermore,Alameda County,CA,94551,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1233,37.69001402,-121.80762501
LIVINGSTON STP,Water Resource Recovery Facility,357 S LIVINGSTON AVE,Livingston,Essex County,NJ,07039,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1235,40.78241401,-74.31450098
LIVINGSTON WWTP (MT),Water Resource Recovery Facility,33 Bennett Street,Livingston,Park County,MT,59047,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1234,45.67386629,-110.5402497
Loch Sheldrake - WWTP,Water Resource Recovery Facility,1077 State Route 52,Loch Sheldrake,Sullivan County,NY,12759,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1236,41.76741492,-74.6540621
LOCKPORT STP,Water Resource Recovery Facility,425 West Division Street,Lockport,Will County,IL,60441,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1238,41.58210001,-88.06613899
LODI White Slough WPCF,Water Resource Recovery Facility,12751 NORTH THORNTON RD.,Lodi,San Joaquin County,CA,95242,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1239,38.09053299,-121.38955898
LOG COLLEGE STP,Water Resource Recovery Facility,415 GIBSON AVE,Warminster,Bucks County,PA,18974,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1765,40.20513,-75.10695401
Lompoc RWRP,Water Resource Recovery Facility,1801 W. CENTRAL AVE,Lompoc,Santa Barbara County,CA,93436,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1240,34.66249402,-120.48122998
Lone Oak #1 Dairy Digester,Farm,,Hanford,Kings County,CA,93230,,animal manure - cattle/dairy cow,AgStar,AD178,,
Lone Oak #2 Digester,Farm,,Fresno,Fresno County,CA,93721,,animal manure - cattle/dairy cow,,AD147,,
LONG BEACH (C) WPCP,Water Resource Recovery Facility,NATIONAL BLVD & BAY ST,Long Beach,Nassau County,NY,11561,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1243,40.58434027,-73.66672997
LONG BEACH WRP,Water Resource Recovery Facility,7400 EAST WILLOW STREET,Long Beach,Los Angeles County,CA,90815,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1242,33.80090398,-118.08753798
LONG BRANCH CITY SEWER AUTH,Water Resource Recovery Facility,,Long Branch,Monmouth County,NJ,07740,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1244,40.3027,-73.985485
Longs Peak,Farm,,Pierce,Weld County,CO,80650,,animal manure - cattle/dairy cow,,AD314,,
Longview Farm Digester (Barstow's),Farm,,Hadley,Hampshire County,MA,01035,Yes,animal manure - dairy cow; Food Wastes,AgStar,AD166,,
LONGVIEW MAIN WWTP,Water Resource Recovery Facility,5217 Texas 281 Loop,Longview,Gregg County,TX,75603,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1246,32.46416749,-94.75406126
LORAIN BLACK RIVER WWTP,Water Resource Recovery Facility,100 ALABAMA AVENUE,Lorain,Lorain County,OH,44052,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1247,41.47222901,-82.18078601
LORAIN PHILIP Q MAIORANA WWTP,Water Resource Recovery Facility,6301 W ERIE AVE.,Lorain,Lorain County,OH,44053,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1248,41.43309902,-82.24992196
LOS COYOTES WRP,Water Resource Recovery Facility,16515 PIUMA AVENUE,Cerritos,Los Angeles County,CA,90703,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD785,33.88217253,-118.10458512
LOTT Clean Water Alliance Budd Inlet Treatment Plant,Water Resource Recovery Facility,500 Adams Street NE,Olympia,Thurston County,WA,98501,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1413,47.04837602,-122.89812201
LOUISVILLE MSD MORRIS FORMAN,Water Resource Recovery Facility,4522 ALGONQUIN PKWY,Louisville,Jefferson County,KY,40211,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1251,38.23051799,-85.83500402
LOWER BUCKS WWTP,Water Resource Recovery Facility,7900 ROUTE 13,Levittown,Bucks County,PA,19057,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1214,40.13318792,-74.82915345
LOWER LACKAWANNA VALLEY SANITARY AUTH,Water Resource Recovery Facility,398 COXTON ROAD,Duryea,Luzerne County,PA,18642,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD912,41.35114162,-75.78299626
Lower Muddy Creek WWTP,Water Resource Recovery Facility,4561 Cooper Road,Winston-Salem,Forsyth County,NC,27127,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1830,35.99680298,-80.33374002
Lower Poplar Street Water Reclamation Facility,Water Resource Recovery Facility,1101 Lower Poplar Street,Macon,Bibb County,GA,31201,Yes,"Wastewater solids, Food waste, Fats, oils and greases (FOG), Septage",AD Data Collection Project - WRRF,AD1259,32.81197201,-83.60380703
LOWER REEDY WWT - ReWa - Simpsonville,Water Resource Recovery Facility,497 N. Harrison Bridge Road,Simpsonville,Greenville County,SC,29680,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1619,34.685882,-82.30023199
Loyd Ray Farms Digester,Farm,,Boonville,Yadkin County,NC,27011,,animal manure - swine,AgStar,AD42,,
LUCAS CO MAUMEE RIVER WWTP,Water Resource Recovery Facility,5758 N RIVER RD,Waterville,Lucas County,OH,43566,Yes,"Wastewater solids, Food waste",AD Data Collection Project - WRRF,AD1779,41.53754902,-83.70164001
Ludington State Park DNR,Water Resource Recovery Facility,8800 W M-116,Ludington,Mason County,MI,49431,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1254,44.02835199,-86.50231801
LUFKIN WWTP,Water Resource Recovery Facility,1600' NW HURRICANE CREEK INTX,Lufkin,Angelina County,TX,75901,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1255,31.335335,-94.722635
Lyndonville WWTP,Water Resource Recovery Facility,30 Railroad Ave,Lyndonville,Orleans County,NY,14098,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1257,43.32583271,-78.38785531
LYNNWOOD TREATMENT SYSTEM,Water Resource Recovery Facility,17000 76TH AVENUE NW,Edmonds,Snohomish County,WA,98026,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD922,47.84646198,-122.33884698
Lystek-Goleta Digestion & Co-Generation,Stand-Alone,,Goleta,Santa Barbara County,CA,93117,Yes,Food Waste,,AD502,34.432961,-119.85687
M&N Nursery Digester,Farm,,Montpelier,Clay County,MS,39755,,animal manure - swine,AgStar,AD276,,
MAC Farm Digester,Farm,,Campbellsville,Taylor County,KY,42718,Yes,"animal manure - poultry; Agricultural Residues; Beverage and Distillery Wastes; Dairy Processing Wastes; Fats, Oils, Greases; Food Processing Wastes; Food Wastes; Process Water; Slaughterhouses; Other Feedstocks",AgStar,AD59,,
Macedon STP,Water Resource Recovery Facility,135 Main Street,Macedon,Wayne County,NY,14502,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1258,43.06983149,-77.29166531
MADERA WWTF,Water Resource Recovery Facility,13048 Road 21 1/2,Madera,Madera County,CA,93637,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1260,36.9388337,-120.15605172
Madison Metropolitan Sewerage District - Nine Springs Wastewater Treatment Plant,Water Resource Recovery Facility,1610 MOORLAND RD,Madison,Dane County,WI,53713,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1263,43.03679502,-89.36153598
Magic Hat Digester - Purpose Energy,Stand-Alone,Flynn Avenue,South Burlington,Chittenden County,VT,05401,Yes,"Food waste, Beverage processing industry waste, Crude glycerin, Fats, oils and greases (FOG), Food processing industry waste, Fruit/vegetative wastes",AD Data Collection Project - Stand-Alone,AD563,44.464085,-73.16868
Mahopac WWTP,Water Resource Recovery Facility,RT 6 & CROTON FALLS ROAD,Carmel,Putnam County,NY,10541,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD763,41.36536325,-73.68208381
Mains Farm Digester,Farm,,Newville,Cumberland County,PA,17241,Yes,animal manure - dairy cow; Dairy Processing Wastes,AgStar,AD292,,
"Majestic Crossing Dairy, LLC Digester",Farm,,Sheboygan Falls,Sheboygan County,WI,53085,,animal manure - cattle/dairy cow,AgStar,AD362,,
MALONE (V) WWTP,Water Resource Recovery Facility,4 LANE STREET,Malone,Franklin County,NY,12953,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1264,44.86302598,-74.29635181
MANCHESTER CREEK WWTP - Rock Hill,Water Resource Recovery Facility,310 RED RIVER ROAD,Rock Hill,York County,SC,29730,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1536,34.95583498,-80.957491
Manchester Hockanum River Wastewater Pollution Control Facility,Water Resource Recovery Facility,120 Thrall Rd (plant) / P.O. Box 191,Manchester,Hartford County,CT,06040,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1267,41.7764,-72.51988
Mandarin - JEA - Jacksonville,Water Resource Recovery Facility,10828 HAMPTON ROAD,Jacksonville,Duval County,FL,32257,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1137,30.17851298,-81.62146203
Mankato Wastewater Treatment Facility,Water Resource Recovery Facility,701 Pine Street PO Box 3368,Mankato,Blue Earth County,MN,56001,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1271,44.18252754,-93.99977641
MANSFIELD WWTP & SEWER SYSTEM,Water Resource Recovery Facility,385 S ILLINOIS AVE,Mansfield,Richland County,OH,44903,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1272,40.74608198,-82.47970597
MANTECA WQCF,Water Resource Recovery Facility,2450 W YOSEMITE AVE,Manteca,San Joaquin County,CA,95337,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1273,37.79593102,-121.25999102
Maple Dairy Digester,Farm,,Bakersfield,Kern County,CA,93301,,animal manure - cattle/dairy cow,AgStar,AD19,,
Maple Leaf Dairy East Digester,Farm,,Cleveland,Manitowoc County,WI,53015,,animal manure - cattle/dairy cow,AgStar,AD81,,
Maple Leaf Dairy West Digester,Farm,,Cleveland,Manitowoc County,WI,53015,,animal manure - cattle/dairy cow,AgStar,AD82,,
Marengo STP,Water Resource Recovery Facility,Illinois Route 23,Marengo,DeKalb County,IL,60152,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1274,42.14550163,-88.64691
MARIN CO. S.D. NO.5 WWTP,Water Resource Recovery Facility,2001 PARADISE DRIVE,Tiburon,Marin County,CA,94920,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1695,37.872566,-122.45070499
MARION WWTP (IN),Water Resource Recovery Facility,107 E BOND AVE,Marion,Grant County,IN,46952,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1277,40.57919675,-85.65961045
MARLAY TAYLOR WASTE WATER TREATMENT PLANT,Water Resource Recovery Facility,48020 PINE HILL RUN ROAD,Lexington Park,St. Mary's County,MD,20670,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1222,38.265776,-76.41419002
Marquette WWTP,Water Resource Recovery Facility,300 W. Baraga (1930 US Hwy 41),Marquette,Marquette County,MI,49855,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1278,46.50975584,-87.37231079
Marrs Milky Way,Farm,,Ault,Weld County,CO,80610,,animal manure - cattle/dairy cow,,AD9,,
MARSH CREEK WWTP,Water Resource Recovery Facility,71 DORAN AVENUE,Geneva,Ontario County,NY,14456,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1018,42.88199979,-76.97264418
Marshall Ridge Dairy,Farm,,State Center,Marshall County,IA,50247,,animal manure - cattle/dairy cow,AgStar,AD375,,
MARSHALL WWTP (TX),Water Resource Recovery Facility,5517 FIVE NOTCH ROAD,Marshall,Harrison County,TX,75672,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1279,32.48982763,-94.33412343
MARSHALLTOWN WWTP,Water Resource Recovery Facility,1001 Woodland Street,Marshalltown,Marshall County,IA,50158,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1280,42.06597902,-92.896134
Maryland Bioenergy Center,Stand-Alone,Maryland Food Center Campus,Jessup,Howard County,MD,20794,Yes,Food Waste,,AD512,39.149275,-76.775249
MARYSVILLE WWTP,Water Resource Recovery Facility,1 BIZZ JOHNSON DR,Marysville,Yuba County,CA,95901,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1282,39.13552467,-121.59133957
"MASON CITY, CITY OF STP",Water Resource Recovery Facility,2950 Birch Drive,Mason City,Cerro Gordo County,IA,50401,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1284,43.13710301,-93.15428698
Mason Dixon Farms Digester,Farm,,Gettysburg,Adams County,PA,17325,,animal manure - cattle/dairy cow,AgStar,AD153,,
MASSENA (V) WWTP,Water Resource Recovery Facility,302 EAST ORVIS ST,Massena,St. Lawrence County,NY,13662,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1285,44.93367268,-74.87547351
MASSILLON WWTP & SEWER SYSTEM,Water Resource Recovery Facility,2700 TREATMENT RD,Massillon,Stark County,OH,44646,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1286,40.80216,-81.518225
Matt Brewing,Stand-Alone,,Utica,Oneida County,NY,13501,Yes,Beverage & Distillery Waste,,AD572,43.100903,-75.232664
MATTOON WWTP,Water Resource Recovery Facility,820 SOUTH FIFTH PLACE,Mattoon,Coles County,IL,61938,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1287,39.47522694,-88.35934971
Mattos Bros Dairy Digester,Farm,,Hanford,Kings County,CA,93230,,animal manure - cattle/dairy cow,,AD179,,
MAULDIN RD PLANT - ReWa - Greenville,Water Resource Recovery Facility,660 Mauldin Road,Greenville,Greenville County,SC,29607,Yes,"Wastewater solids, Food waste, Beverage processing industry waste, Fats, oils and greases (FOG), Fruit/vegetative wastes, Septage",AD Data Collection Project - WRRF,AD1053,34.79480299,-82.35896097
Maunesha River Dairy Digester,Farm,,Sun Prairie,Dane County,WI,53590,,animal manure - dairy cow; Agricultural Residues,AgStar,AD379,,
"Maxwell Farm / Neighborhood Energy, LLC Digester",Farm,,Coventry,Orleans County,VT,05825,Yes,animal manure - dairy cow; Food Processing Wastes,AgStar,AD100,,
Maya Dairy Digester,Farm,,Buttonwillow,Kern County,CA,93206,,animal manure - cattle/dairy cow,AgStar,AD53,,
Maybrook WWTP,Water Resource Recovery Facility,ROUTE 208,Maybrook,Orange County,NY,12543,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1288,41.49014109,-74.21312754
McMoo Farms Dairy Digester,Farm,,Bakersfield,Kern County,CA,93301,,animal manure - cattle/dairy cow,AgStar,AD20,,
Meadow Rock RNG,Farm,,Greenville,Montcalm County,MI,48838,,animal manure - cattle/dairy cow,AgStar,AD164,,
MEADOWBROOK RD STP,Water Resource Recovery Facility,3001 MEADOWBROOK ROAD,Murrysville,Westmoreland County,PA,15668,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1357,40.41084102,-79.72327101
Meadowvale Dairy Digester,Farm,,Rock Valley,Sioux County,IA,51247,,animal manure - cattle/dairy cow,AgStar,AD349,,
MECHANICSBURG BOROUGH MUNICIPAL AUTH,Water Resource Recovery Facility,CHURCH RD & MULBERRY DR,Mechanicsburg,Cumberland County,PA,17050,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1291,40.20882001,-77.02812
MEDINA (V) WWTP,Water Resource Recovery Facility,200 Gulf Street,Medina,Orleans County,NY,14103,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1292,43.23073243,-78.38994384
Meirinho Dairy Digester,Farm,,Merced,Merced County,CA,95340,,animal manure - cattle/dairy cow,AgStar,AD260,,
Meirinho West Dairy Digester,Farm,,Merced,Merced County,CA,95340,,animal manure - cattle/dairy cow,,AD261,,
Meister Cheese AD,Stand-Alone,1160 Industrial Dr.,Muscoda,Iowa County,WI,53573,Yes,Industrial Food Waste,,AD535,43.185897,-90.428797
Mellema Dairy Digester,Farm,,Visalia,Tulare County,CA,93291,,animal manure - cattle/dairy cow,AgStar,AD437,,
Melo Dairy Digester,Farm,,Merced,Merced County,CA,95340,,animal manure - cattle/dairy cow,AgStar,AD262,,
MELROSE TREATMENT FACILITY,Water Resource Recovery Facility,116 NO EIGHTH AVE E,Melrose,Stearns County,MN,56352,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1293,45.67597984,-94.80247799
MENDHAM BORO,Water Resource Recovery Facility,35 IRONIA RD,Mendham,Morris County,NJ,07945,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1297,40.77609852,-74.62091062
Menominee Watewater Treatment Plant,Water Resource Recovery Facility,1301 5th Ave.,Menominee,Menominee County,MI,49858,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1298,45.10288272,-87.61090486
MERCED WWTF,Water Resource Recovery Facility,10260 GROVE RD.,Merced,Merced County,CA,95340,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1301,37.25522889,-120.52916686
MERIDIAN STP,Water Resource Recovery Facility,3401 NORTH TEN MILE ROAD,Meridian,Ada County,ID,83646,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1302,43.63898208,-116.44053415
Metro Wastewater Reclamation District,Water Resource Recovery Facility,6450 YORK STREET,Denver,Adams County,CO,80229,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD890,39.814989,-104.957922
METROPOLITAN SYRACUSE WWTP,Water Resource Recovery Facility,650 HIAWATHA BOULEVARD WEST,Syracuse,Onondaga County,NY,13204,Yes,"Wastewater solids, Food waste",AD Data Collection Project - WRRF,AD1678,43.06272657,-76.17791858
MEXICO WWTP,Water Resource Recovery Facility,1050 NORTH AGRICULTURAL,Mexico,Audrain County,MO,65265,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1305,39.18141598,-91.871402
MIAMI DADE SOUTH DISTRICT WWTP,Water Resource Recovery Facility,8950 SW 232nd St,Miami,Miami-Dade County,FL,33032,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1306,25.548536,-80.33862701
MIAMISBURG STP,Water Resource Recovery Facility,9139 DAYTON CINCINNATI PIKE,Miamisburg,Montgomery County,OH,45342,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1308,39.61631401,-84.29068698
MICHELSON WRP,Water Resource Recovery Facility,3512 MICHELSON DRIVE,Irvine,Orange County,CA,92612,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1124,33.662868,-117.83933096
Michigan State University South Campus Anaerobic Digester,Stand-Alone,4261 Bennett Rd,Lansing,Ingham County,MI,48910,Yes,Food waste; animal manure - dairy cow,AD Data Collection Project - Stand-Alone,AD516,42.69730728,-84.48873613
Middleport WWTF,Water Resource Recovery Facility,3825 NORTH HARTLAND STREET,Middleport,Niagara County,NY,14105,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1310,43.22417489,-78.47906239
Middleton Digester,Farm,,Springfield,Walworth County,WI,53147,,animal manure - cattle/dairy cow,,AD371,,
MIDDLETOWN (C) STP,Water Resource Recovery Facility,159 DOLSON AVENUE,Middletown,Orange County,NY,10940,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1311,41.42849513,-74.42572296
MIDDLETOWN TWP SLF BELFORD SECTION,Water Resource Recovery Facility,,Belford,Monmouth County,NJ,07748,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD666,40.41904,-74.08716
MIDLAND WWTP,Water Resource Recovery Facility,2125 AUSTIN,Midland,Midland County,MI,48642,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1312,43.60861398,-84.20059904
Midway Dairy,Farm,,Declo,Cassia County,ID,83323,,animal manure - cattle/dairy cow,,AD110,,
Midway Sewer District Des Moines Creek WWTP,Water Resource Recovery Facility,1200 South 216th Street,Des Moines,King County,WA,98198,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD892,47.41137499,-122.31859203
MIDWEST CITY WWT,Water Resource Recovery Facility,7420 NE 36th Street,Midwest City,Oklahoma County,OK,73141,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1313,35.50382202,-97.39844798
Midwest Dairy Institute Digester,Farm,,Milbank,Grant County,SD,57252,,animal manure - cattle/dairy cow,AgStar,AD271,,
Miedema Dairy Digester,Farm,,Circleville,Pickaway County,OH,43113,,animal manure - cattle/dairy cow,AgStar,AD80,,
Milford (Beaver Brook) Wastewater Pollution Control Facility,Water Resource Recovery Facility,75 Deerwood Avenue,Milford,New Haven County,CT,06460,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1314,41.18702927,-73.0988979
Milford (Housatonic) Wastewater Pollution Control Facility,Water Resource Recovery Facility,255 Oronoque Road,Milford,New Haven County,CT,06461,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD1315,41.23567297,-73.08182092
Milky Way Dairy Biogas,Farm,,Maricopa,Pinal County,AZ,85138,,animal manure - cattle/dairy cow,,AD248,,
Mill Creek Dairy Digester,Farm,,West Unity,Williams County,OH,43501,Yes,animal manure - dairy cow; Food Wastes; Process Water,AgStar,AD451,,
MILL CREEK WWTP,Water Resource Recovery Facility,1600 GEST ST,Cincinnati,Hamilton County,OH,45204,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD820,39.10824,-84.545568
